Verk;Oms;Land;Fecode;RdcX;RdcY;Type;Straal1;Straal2;Straal3;Vanaf;VanafIAM;Positie;Knoop
lwc;Leeuwarden Camminghaburen;NL;389;018514;057962;6;0;2;2;2;2;2;0
lwd;Lewedorp;;;004000;039155;5;0;2;2;2;0;7;0
lwsks;Leeuwarden racc. Schenkenschans;;;018072;057857;5;0;0;2;3;3;1;0
mabr;Markbrug - tussen Zevenbergen en Oudenbosch;;;009772;040205;1;0;0;0;0;0;1;0
madu;Madurodam;;663;008037;045728;2;0;0;0;0;0;2;0
mas;Maarssen;NL;419;013080;046086;8;0;2;2;2;2;4;0
mbga;Muiderberg aansl.;;;013368;048017;5;0;0;0;0;0;5;0
mbh;Maasbrug - bij Hedel;;;014729;041642;1;0;0;0;0;0;0;0
mbrvo;Maasbrug Ravenstein Oostzijde;;;017384;042391;1;0;0;2;0;3;1;0
mbrvw;Maasbrug Ravenstein Westzijde;;;017443;042413;1;0;0;2;0;3;8;0
mbt;Maasbracht;;;019305;035071;4;0;0;0;0;0;5;0
mbtwan;Meteren Betuweroute aansluiting Noord;;;014681;043067;5;0;0;0;0;0;4;0
mbtwaz;Meteren Betuweroute aansluiting Zuid;;;014616;042953;5;0;0;0;0;0;4;0
mcgb;Mönchengladbach Hbf;D;8015165;022307;035825;8;0;2;2;2;2;7;0
mda;Moordrecht aansl.;;;010574;044746;5;0;0;2;3;3;8;0
mdaz;Moordrecht aansl. Zuid;;;010422;044699;4;0;0;0;0;0;0;0
mdb;Middelburg;NL;436;003218;039106;8;0;2;2;2;2;1;0
mdbz;Moerdijkbrug Zuid aansl.;;;010367;041467;5;0;0;0;0;0;5;0
mdk;Moerdijk;;;010165;041053;2;0;2;2;0;2;4;0
mdo;Moordrecht overloopw.;;;010441;044565;4;0;0;2;3;3;8;0
mdsa;Muiderstraatwegweg aansl.;;;012659;048343;5;0;0;1;0;3;8;0
mech;Mechelen;B;8822004;009880;036695;8;0;2;2;2;2;4;1
mes;Meerssen;NL;434;018062;032150;6;0;2;2;2;2;7;0
mg;Mantgum;NL;427;017683;057165;8;0;2;2;2;2;8;0
mho;Hove;;8821337;009667;037350;8;0;2;2;3;0;4;0
mk;Markelo;;;023222;046908;4;0;0;2;3;3;1;0
mkbr;Merwedekanaalbrug - bij Arkel;;;013113;043294;1;0;0;0;0;0;2;0
mlo;Meerlo=Tienraij;NL;;020199;039038;4;0;0;2;3;3;4;0
mmlh;Mook Molenhoek;NL;446;018912;042044;6;0;2;2;2;3;5;0
mp;Meppel;NL;435;020974;052295;8;0;2;2;2;2;4;1
mpa;Meppel aansl.;;;021000;052403;5;0;0;2;3;3;4;0
mrb;Mariënberg;NL;428;023545;050303;8;0;2;2;2;2;5;1
mrg;Maarn goed. empl.;;;014989;045288;2;0;0;0;0;0;2;0
mrn;Maarn;NL;417;015386;045288;6;0;2;2;2;3;2;0
mss;Maassluis;NL;422;007699;043704;8;0;2;2;2;2;3;1
msw;Maassluis West;NL;421;007577;043809;6;0;2;2;2;2;3;0
mt;Maastricht;NL;424;017745;031883;8;3;3;3;1;1;4;1
mt gr;Ned/Bel grens;;;017751;030774;9;0;0;0;0;0;5;0
mth;Martenshoek;NL;430;024549;057578;6;0;2;2;2;2;2;0
mtn;Maastricht Noord;;449;017824;032016;8;0;2;2;2;2;4;0
mtr;Maastricht Randwyck;NL;426;017825;031657;8;0;2;2;2;2;5;0
mttrix;Maastricht racc. Beatrixhaven;;;017792;032043;2;0;0;0;0;0;0;0
mtwpl;Maastricht Lijnwerkplaats;;;017735;031889;2;0;0;0;0;0;0;0
mvt;Maasvlakte;;;006762;044134;2;0;2;2;0;2;4;0
mvta;Maasvlakte aansl.;;;006752;043985;5;0;0;2;0;3;6;0
mvtw;Maasvlakte West;;;006490;043929;2;0;0;0;0;0;0;0
mz;Maarheeze;NL;432;017185;036867;6;0;2;2;2;3;4;0
mzn;Y.Muizen;;;009967;036702;0;0;0;2;0;3;5;0
n/d gr;Ned./Duitse grens;;;021085;037325;9;0;0;0;0;0;3;0
na;Nieuw Amsterdam;NL;454;025371;052656;8;0;2;2;2;2;4;0
naa;Nieuw Amsterdam aansl.;;;025097;052533;5;0;0;2;3;3;1;0
ndb;Naarden-Bussum;NL;452;013931;047704;8;0;2;2;2;2;6;0
ngsf;Nederlandse Gist Fabriek - bij Delft;;;008422;044782;2;0;0;0;0;0;0;0
ngsfa;Nederlandse Gist Fabriek aansl. - bij Delft;;;008399;044762;5;0;0;2;0;0;5;0
nh;Nuth;NL;467;019054;032570;8;0;2;2;2;2;3;0
nhk;Noordhollands kanaal, brug o/h - bij Purmerend;;;012552;050167;1;0;0;0;0;0;4;0
nhkbr;Noordhollands kanaal, brug o/h - bij Alkmaar;;;011209;051715;1;0;0;0;0;0;8;0
nkk;Nijkerk;NL;469;016230;047049;8;0;2;2;2;2;8;0
nm;Nijmegen;NL;470;018707;042841;8;3;3;3;1;1;5;1
nmd;Nijmegen Dukenburg;NL;475;018292;042621;6;0;2;2;2;2;2;0
nmgo;Nijmegen Goffert;;477;018504;042662;6;0;2;2;2;0;0;0
nmh;Nijmegen Heyendaal;NL;468;018820;042652;6;0;2;2;2;2;5;0
nml;Nijmegen Lent;NL;451;018748;042998;6;0;2;2;2;2;5;0
nnvbr;Nauernasche vaartbrug - bij Krommenie=Assendelft;;;011349;050062;1;0;0;2;0;3;7;0
ns;Nunspeet;NL;466;018205;048711;8;0;2;2;2;2;8;0
nscg;Nieuweschans grens;;;027733;057950;9;0;0;0;0;0;0;0
nsch;Bad Nieuweschans;NL;457;027620;057911;8;0;2;2;2;2;1;1
nspl;Noordelijke splitsing (Haarlem);;;010312;049011;4;0;0;2;3;3;5;0
nvbro;Nieuwe Veerbrug overloopw.;;;010749;040535;3;0;0;0;0;0;5;0
nvd;Nijverdal;NL;472;022882;048698;8;0;2;2;2;2;2;0
nvp;Nieuw Vennep;NL;460;010433;047485;6;0;2;2;2;2;1;0
nwh;Noordwijkerhout;;;009470;047346;5;0;0;2;0;3;4;0
nwk;Nieuwerkerk a/d IJssel;NL;455;010204;044214;6;0;2;2;2;2;8;0
nwki;Nieuwerkerk IVO;;;010287;044326;3;0;0;0;0;0;0;0
nwl;Schiedam Nieuwland;NL;563;008587;043757;6;0;2;2;2;2;2;0
nws;Nieuwersluis=Loenen;;;012877;047356;4;0;0;2;0;3;5;0
nwtbr;Nieuwe Weteringbrug - bij Nieuwersluis=Loenen;;;012901;047155;1;0;0;2;0;3;5;0
o;Oss;NL;495;016494;041966;8;0;2;2;2;2;2;0
obd;Obdam;NL;480;012247;052139;8;0;2;2;2;2;3;0
oberh;Oberhausen Hbf;D;8010263;024805;038930;8;0;2;2;2;2;5;0
obpa;Overbrakerpolder aansl.;;;011887;048918;4;0;0;2;3;3;2;0
odb;Oudenbosch;NL;498;009582;040024;8;0;2;2;2;2;1;0
odo;Oudewater overloopw.;;;011436;044786;3;0;0;0;0;0;0;0
ods;Oosterdoksdoorvaart;;;012200;048790;1;0;0;0;0;0;4;0
odw;Oudewater wachtspoor;;;011272;044759;4;0;0;0;0;0;0;0
odz;Oldenzaal;NL;483;026046;048092;8;0;2;2;2;2;2;1
odz gr;Oldenzaal Grens;;;026728;048111;9;0;0;0;0;0;7;0
odzg;Oldenzaal grens;;;026737;048138;9;0;0;0;0;0;1;0
oelz;Oss racc. Elzenburg;;;016633;041980;5;0;0;0;0;0;0;0
ohze;Oud Heeze;;;016767;037734;4;0;0;2;3;3;4;0
oij;Oude IJssel, brug o/d - bij Doetinchem;;;021564;044155;1;0;0;0;0;0;7;0
olv;Onze Lieve Vrouwe t. Nood;NL;997;010760;051111;7;0;2;2;2;2;4;0
omn;Ommen;NL;487;022482;050297;8;0;2;2;2;2;2;0
on;Onnen;;;023813;057524;2;0;0;2;0;3;5;0
onn;Onnen Noord;;;023764;057635;4;0;0;2;3;3;4;0
onz;Onnen Zuid;;;023831;057384;5;0;0;0;0;0;5;0
op;Opheusden;NL;494;017217;043757;6;0;2;2;2;2;2;0
opo;Opheusden Overloop;;;017173;043313;4;0;2;2;0;2;7;0
ost;Olst;NL;486;020455;048334;8;0;2;2;2;2;4;0
ot;Oisterwijk;NL;482;014155;039927;8;0;2;2;2;2;7;0
otb;Oosterbeek;NL;489;018616;044522;6;0;2;2;2;2;2;0
otw;Oosterhout Weststad;;;011775;040912;2;0;0;0;0;0;0;0
ovn;Overveen;NL;501;010196;048948;6;0;2;2;2;2;1;0
ow;Oss West;NL;496;016325;041889;6;0;2;2;2;2;2;0
ozbm;Oud Zaltbommel;;;014672;042244;2;0;2;2;2;2;5;0
pmk;Prinses Margrietkanaal, brug o/h - bij Grouw=Irnsum;;;018426;056642;1;0;0;0;0;0;5;0
pmo;Purmerend Overwhere;NL;506;012657;050274;8;0;2;2;2;2;1;0
pmr;Purmerend;NL;508;012562;050182;6;0;2;2;2;2;5;0
pmw;Purmerend Weidevenne;NL;499;012434;050109;6;0;2;2;2;0;8;0
pnk;Pijnacker;NL;;008980;044827;6;0;0;0;0;0;0;0
ppd;Papendrecht overloop;;;010581;042852;4;0;2;2;0;2;2;0
ps;Pernis;;;008279;043220;2;0;0;2;0;3;7;0
psa;Pernis Aansl. RSC;;;008417;043247;5;0;0;3;0;3;2;0
pt;Putten;NL;509;016790;047529;8;0;2;2;2;2;8;0
rai;Amsterdam RAI;NL;056;012112;048335;8;0;2;2;2;2;7;0
rat;Raalte;NL;513;021563;048957;8;0;2;2;2;2;3;0
rb;Rilland-Bath;NL;521;006964;038227;8;0;2;2;2;2;7;0
rd;Roodeschool;NL;525;024615;060454;8;0;2;2;2;2;5;0
rda;Roodeschool aansl.;;;024581;060407;4;0;0;0;0;0;7;0
rdp;Reitdiep, brug o/h - bij Groningen;;;023208;058234;1;0;0;0;0;0;1;0
rdr;Berkel en Rodenrijs;NL;;009125;044349;6;0;0;0;0;0;0;0
rdwa;Radarweg aansl.;;;011647;048924;5;0;0;2;3;3;4;0
rh;Rheden;NL;519;019919;044701;6;0;2;2;2;2;8;0
rhn;Rhenen;NL;517;016813;044115;6;0;2;2;2;2;5;0
rl;Ruurlo;NL;537;022780;045530;8;0;2;2;2;2;3;0
rlb;Rotterdam Lombardijen;NL;542;009588;043284;8;0;2;2;2;2;5;0
rm;Roermond;NL;523;019743;035615;8;2;2;2;2;2;4;1
rmo;Rotterdam Rechter Maasoever;;;009051;043566;2;0;2;2;0;2;5;0
rmoa;Rotterdam Rechter Maasoever aansl.;;;008950;043759;5;0;0;0;0;0;0;0
rmsolv;Roermond racc. Solvay Chemy;;;019432;035278;2;0;0;3;0;3;4;0
rs;Rosmalen;NL;524;015371;041402;6;0;2;2;2;2;2;0
rsa;Ressen aansl.;;;018736;043405;5;0;0;2;3;3;5;0
rsc1;RSC Oost;;;009092;043338;0;0;0;3;0;3;3;0
rsc2;RSC West;;;008759;043362;0;0;0;3;0;3;1;0
rscw;Rail Service Center Waalhaven;;;008949;043191;2;0;0;0;0;0;0;0
rscwa;Rail Service Center Waalhaven aansl.;;;008443;043233;5;0;0;0;0;0;0;0
rsd;Roosendaal;NL;526;009059;039498;8;3;3;3;1;1;1;1
rsd gr;Roosendaal grens;;;008941;038729;9;0;0;0;0;0;4;0
rsdg;Roosendaal grens;;527;008978;038718;9;0;0;0;0;0;5;0
rsdphi;Roosendaal racc. Philips;;;009239;039576;4;0;2;2;0;3;8;0
rskbl;Rijn-Schiekanaalbrug Leiden;;;009537;046148;1;0;0;0;0;0;3;0
rskbv;Rijn-Schiekanaalbrug Voorburg;;;008687;045391;1;0;0;0;0;0;0;0
rsl;Rensel, brug o/d - tussen Winschoten en Nieuweschans;;;027066;057617;1;0;0;0;0;0;7;0
rsn;Rijssen;NL;538;023221;048104;8;0;3;3;2;2;8;0
rsw;Rijswijk;NL;505;008170;045067;6;0;2;2;2;2;6;0
rta;Rotterdam Alexander;NL;507;009758;044066;6;0;2;2;2;2;7;0
rtb;Rotterdam Blaak;NL;529;009304;043726;6;0;2;2;3;3;6;0
rtbw;Rotterdam Bergweg;NL;;009192;043935;6;0;0;0;0;0;0;0
rtd;Rotterdam Centraal;NL;530;009186;043777;8;3;3;3;1;1;6;1
rth;Rotterdam Hofplein;NL;;009256;043793;6;0;0;0;0;0;0;0
rtkw;Rotterdam Kleiweg;NL;;009155;044008;8;0;0;0;0;0;0;0
rtkwa;Rotterdam Kleiweg aansl.;;;009179;043962;5;0;0;0;0;0;0;0
rtn;Rotterdam Noord;NL;531;009259;043967;6;0;2;2;2;2;8;0
rtng;Rotterdam Noord goed.;;;009464;044003;2;0;0;0;0;0;0;0
rtngo;Rotterdam Noord goed. Oost;;;009572;044024;4;0;0;0;0;0;0;0
rtngw;Rotterdam Noord goed. West;;;009367;043988;4;0;0;0;0;0;0;0
rtst;Rotterdam Stadion;NL;534;009530;043429;8;0;2;2;3;3;5;0
rtwp;Rotterdam Wilgenplas;NL;;009134;044181;6;0;0;0;0;0;0;0
rtz;Rotterdam Zuid;NL;533;009466;043529;6;0;2;2;2;2;5;0
rv;Reuver;NL;518;020329;036620;8;0;2;2;2;2;4;0
rvbr;Ringvaartbrug - bij Sassenheim;;;009753;047068;1;0;2;0;2;2;1;0
rvs;Ravenstein;NL;515;017226;042295;6;0;2;2;2;2;2;0
sb;Schoonebeek;;;025788;052237;2;0;2;2;0;2;5;0
sbk;Spaubeek;NL;572;018752;032829;6;0;2;2;2;2;6;0
schb;Schaarbeek;B;;010330;034616;8;0;0;0;0;0;4;0
sche;Scheveningen;;680;007894;045840;2;0;0;0;0;0;2;0
scn;Y.Schijn;;;009482;037718;0;0;0;0;0;0;4;0
sd;Soestdijk;NL;569;014903;046626;6;0;2;2;2;2;4;0
sda;Scheemda;NL;551;026152;057647;8;0;2;2;2;2;2;0
sdm;Schiedam Centrum;NL;553;008762;043748;8;0;2;2;2;2;7;0
sdn;Soestduinen;NL;;014891;046190;7;0;0;0;0;0;7;0
sdt;Sliedrecht;NL;565;011302;042697;8;0;2;2;2;2;2;0
sdtb;Sliedrecht Baanhoek;;497;011080;042672;6;0;2;2;2;0;1;0
sgbr;Singelgrachtbrug;;;012089;048864;1;0;0;0;0;0;0;0
sgl;Houthem-St Gerlach;NL;341;018382;032048;6;0;2;2;2;2;7;0
sgn;Schagen;NL;549;011575;053329;8;0;2;2;2;2;4;0
sgra;Singelgracht aansl.;;;011989;048915;5;0;0;2;3;3;3;0
shb;Suurhoffbrug o/h Hartelkanaal;;;006851;043935;1;0;0;2;0;3;7;0
shl;Schiphol Airport;NL;561;011236;048037;8;2;2;2;2;2;1;1
sk;Sneek;NL;566;017270;056068;8;0;2;2;2;2;8;1
skbr;Schinkelbrug - bij Amsterdam Zuid;;;011853;048346;1;0;0;0;0;0;7;0
sknd;Sneek Noord;NL;574;017343;056148;6;0;2;2;2;2;5;0
sloe;Sloehaven empl.;;;004047;038631;2;0;2;2;0;2;7;0
slua;Sluiskil aansl.;;;004612;036791;2;0;0;0;0;0;5;0
sludow;Sluiskil racc. Dow Chemical;;;004342;037456;6;0;0;0;0;0;0;0
sm;Swalmen;NL;583;020004;036083;8;0;2;2;2;2;4;0
smvrt;Smildervaart, brug o/d;;;020918;052820;1;0;0;0;0;0;5;0
smz;Swalmen zuid;;;019999;036077;5;0;0;0;0;0;0;0
sn;Schinnen;NL;554;018935;032780;6;0;2;2;2;2;3;0
sog;Schin op Geul;NL;555;018910;031858;6;0;2;2;2;2;7;0
spa;Snippeling aansl.;;;021022;047408;5;0;0;2;3;3;2;0
spb;Springbiel (D);;;026775;048140;9;0;0;0;0;0;2;0
spbr;Spaarnebrug - bij Haarlem;;;010410;048915;1;0;0;0;0;0;0;0
spm;Sappemeer Oost;NL;545;024918;057564;6;0;2;2;2;2;7;0
sptn;Santpoort Noord;NL;543;010369;049424;8;0;2;2;2;2;5;0
sptz;Santpoort Zuid;NL;544;010357;049265;6;0;2;2;2;2;5;0
srn;Susteren;NL;582;018834;034135;8;0;2;2;2;2;4;0
ssh;Sassenheim;;603;009655;046947;6;0;2;2;2;2;8;0
st;Soest;NL;567;014974;046492;8;0;2;2;2;2;5;0
stb;Swifterbant, goederenwachtsporen;;;017023;050690;2;0;2;2;2;2;2;0
stbdro;Swifterbant - Dronten;;;017325;050605;0;0;2;2;2;0;2;0
std;Sittard;NL;564;018816;033517;8;2;2;2;2;2;5;1
stm;Stedum;NL;576;024165;059408;8;0;2;2;2;2;7;0
stmb;Y.Sint Mariaburg;;;009493;037718;0;0;0;0;0;0;5;0
sto;Stroe;;;018277;046729;2;0;0;0;0;0;2;0
sts;Stiens;;;018104;058402;2;0;0;0;0;0;0;0
stv;Stavoren;NL;575;015326;054443;6;0;2;2;2;2;4;0
stz;Soest Zuid;NL;571;014928;046425;6;0;2;2;2;2;4;0
svg;Sas van Gent;;;004398;036253;2;0;2;2;0;2;5;0
svgg;Sas van Gent grens;;;004383;035911;9;0;0;0;0;0;0;0
swd;Sauwerd;NL;547;023189;059011;8;0;2;2;2;2;4;0
swk;Steenwijk;NL;578;020428;053400;8;0;2;2;2;2;3;0
tb;Tilburg;NL;597;013396;039688;8;0;2;2;2;2;7;1
tba;Tilburg aansl.;;;013565;039717;5;0;0;2;3;3;8;0
tbg;Terborg;NL;592;022223;043758;8;0;2;2;2;2;7;0
tbge;Tilburg goed. empl.;;;013252;039719;2;0;0;0;0;0;7;0
tbi;Tilburg ind. terr.;;;013654;039846;2;0;0;2;0;3;1;0
tbr;Tilburg Reeshof;NL;598;012695;039855;6;0;2;2;2;2;2;0
tbu;Tilburg Universiteit;NL;594;013177;039739;8;0;2;2;2;2;2;0
tg;Tegelen;NL;591;020718;037197;8;0;2;2;2;2;4;0
tgra;Tongelre aansl.;;;016340;038399;5;0;0;2;0;3;2;0
tl;Tiel;NL;596;015746;043348;8;0;2;2;2;2;2;1
tla;Tiel aansl. ind. terr.;;;015962;043496;5;0;0;0;0;0;0;0
tli;Tiel ind. terr.;;;015918;043531;2;0;0;0;0;0;0;0
tnz;Terneuzen;;798;004610;037264;2;0;2;2;0;2;5;0
tnzz;Terneuzen Zuidzijde (racc.);;;004734;036878;2;0;0;0;0;0;5;0
tpsw;Tiel Passewaaij;NL;600;015600;043240;6;0;2;2;2;0;8;0
twl;Twello;NL;599;020417;047277;6;0;2;2;2;0;2;0
uhm;Uithuizermeeden;NL;618;024363;060388;8;0;2;2;2;2;2;0
uhz;Uithuizen;NL;617;024065;060335;6;0;2;2;2;2;2;0
ust;Usquert;NL;619;023629;060233;8;0;2;2;2;2;2;0
ut;Utrecht Centraal;NL;621;013598;045582;11;3;3;3;1;1;6;1
utctw;Utrecht Carthesiusweg;;;013339;045743;2;0;0;0;0;0;0;0
utdd;Utrecht Daalsedijk;;;013505;045796;2;0;0;0;0;0;0;0
utg;Uitgeest;NL;615;010858;050394;8;0;2;2;2;2;4;1
utge;Utrecht goed. empl.;;;013573;045534;2;0;0;0;0;0;0;0
utl;Utrecht Lunetten;NL;623;013828;045306;6;0;2;2;2;2;4;0
utlr;Utrecht Leidsche Rijn;;607;013319;045673;6;0;2;2;2;0;7;0
utm;Utrecht Maliebaan;NL;624;013744;045549;6;0;2;2;2;2;5;0
utma;Utrecht aansl. Maarssen;;;013403;045777;5;0;0;0;0;0;0;0
utn;Utrecht Noord;;;013346;045724;2;0;0;0;0;0;5;0
uto;Utrecht Overvecht;NL;620;013693;045796;8;0;2;2;2;2;1;0
utoa;Utrecht Overvecht aansl.;;;013592;045739;5;0;0;0;0;3;1;0
utt;Utrecht Terwijde;NL;614;013069;045706;6;0;2;2;2;2;7;0
utva;Utrecht aansl. goed. empl.;;;013664;045470;5;0;0;0;0;0;3;0
utwa;Utrecht-Woerden aansl.;;;013333;045672;5;0;0;2;0;3;2;0
utwao;Utrecht-Woerden aansl. Oost;;;013401;045664;5;0;0;0;0;0;7;0
utwaw;Utrecht-Woerden aansl. West;;;013267;045679;4;0;0;0;0;0;6;0
utzl;Utrecht Zuilen;NL;613;013357;045822;6;0;2;2;2;2;4;0
va;Velperbroek aansl.;;;019268;044414;5;0;0;2;3;3;1;0
vam;VAM-terrein Wijster;;;023091;053385;2;0;0;0;0;0;0;0
vama;VAM aansl. - bij Wijster;;;022941;053198;5;0;0;2;3;3;4;0
vb;Voorburg;NL;658;008453;045358;6;0;2;2;2;2;7;0
vben;Y Val Benoit;;;017102;029577;0;0;0;0;0;0;0;0
vbl;Voorburg t Loo;NL;660;008493;045535;6;0;0;0;0;0;0;0
vd;Vorden;NL;661;021873;045806;8;0;2;2;2;2;3;0
vdg;Vlaardingen Centrum;NL;650;008321;043548;8;0;2;2;2;2;7;0
vdgbr;Vlaardingenbrug;;;008366;043577;1;0;0;0;0;0;0;0
vdl;Voerendaal;NL;656;019316;032201;6;0;2;2;2;2;8;0
vdm;Veendam;;636;025570;057027;8;0;2;2;2;2;5;0
vdo;Vlaardingen Oost;NL;649;008439;043622;6;0;2;2;2;2;1;0
vdpg;Vlodrop grens;;;020829;035161;9;0;2;0;0;0;5;0
vdw;Vlaardingen West;NL;642;008116;043557;6;0;2;2;2;2;6;0
veg;Veghel;;;016635;040441;2;0;0;0;0;0;0;0
veghi;Veghel Haven ind. terr.;;;015957;040217;2;0;0;0;0;0;0;0
vem;Voorst-Empe;NL;668;020624;046361;6;0;2;2;2;0;6;0
vg;Vught;NL;667;014840;040743;6;0;2;2;2;2;5;0
vga;Vught aansl.;;;014836;040793;5;0;0;2;3;3;5;0
vgz;Vogelenzang=Bennebroek;NL;;010072;048223;7;0;0;0;0;0;4;0
vh;Voorhout;NL;655;009330;047110;6;0;2;2;2;2;4;0
vhn;Veghel Haven;;;016265;040248;2;0;0;0;0;0;0;0
vhp;Vroomshoop;NL;666;023536;049718;8;0;2;2;2;2;5;0
viers;Viersen;D;8015122;021880;036927;8;0;2;2;2;2;5;0
vij;Velsen=IJmuiden Oost;NL;;010201;049636;6;0;0;0;0;0;0;0
vk;Valkenburg;NL;632;018637;032003;8;0;2;2;2;2;7;0
vkbr;Vinkbrug o/d Rijn - bij Leiden;;;009177;046314;1;0;0;0;0;0;0;0
vl;Venlo;NL;644;020956;037540;8;3;3;3;1;1;3;1
vlb;Vierlingsbeek;NL;647;019722;040051;8;0;2;2;2;2;4;0
vlgr;Venlo grens;;645;021085;037325;9;0;0;0;0;0;6;0
vlk;Vlakebrug o/h Kanaal door Zuid-Beveland;;;005830;038793;1;0;0;0;0;0;2;0
vlvrd;Vilvoorde;B;;010298;034734;8;0;0;0;0;0;5;0
vndc;Veenendaal Centrum;NL;627;016611;044799;8;0;2;2;2;2;5;0
vndw;Veenendaal West;NL;628;016491;044887;6;0;2;2;2;2;4;0
vp;Velp;NL;640;019578;044532;6;0;2;2;2;2;1;0
vrk;Vork;;;018565;043525;4;0;0;2;3;3;2;0
vry;Venray;NL;646;019852;039321;8;0;2;2;2;2;4;0
vs;Vlissingen;NL;652;003047;038549;10;3;3;3;1;1;4;0
vspa;Venserpolder aansl.;;;012457;048196;5;0;0;0;0;0;5;0
vss;Vlissingen Souburg;NL;653;003050;038758;6;0;2;2;2;2;4;0
vst;Voorschoten;NL;659;008975;046029;6;0;2;2;2;2;1;0
vsv;Varsseveld;NL;635;022870;043931;8;0;2;2;2;2;2;0
vtbr;Vechtbrug - bij Weesp;;;013276;047966;1;0;0;0;0;0;7;0
vtn;Vleuten;NL;651;012923;045728;8;0;2;2;2;2;2;0
vvl;Hoogkerk=Vierverlaten;;;022876;058159;4;0;0;0;0;0;7;0
vwd;Veenwouden;NL;638;019525;058266;8;0;0;0;0;0;0;0
vz;Vriezenveen;NL;664;023759;049111;8;0;2;2;2;2;5;0
vzw;Velsen Zeeweg;NL;;010248;049573;6;0;0;0;0;0;0;0
wad;Waddinxveen;NL;675;010439;045093;8;0;2;2;2;2;5;0
wadn;Waddinxveen Noord;NL;674;010430;045214;6;0;2;2;2;2;5;0
wc;Wijchen;NL;710;017859;042478;6;0;2;2;2;2;2;0
wd;Woerden;NL;702;012112;045531;8;0;2;2;2;2;1;0
wda;Woerden aansl.;;;012018;045436;5;0;0;0;0;0;1;0
wdba;Woerden-Bodegraven aansl.;;;012076;045387;5;0;0;0;0;0;0;0
wdn;Wierden;NL;691;023631;048656;8;0;2;2;2;2;2;0
wdo;Woerden Overloop;;;011953;045302;4;0;0;0;0;0;0;0
wdvb;Wildervankkanaalbrug;;;025785;057609;1;0;0;0;0;0;7;0
wf;Wolfheze;NL;704;018283;044643;8;0;2;2;2;2;2;0
wfm;Warffum;NL;679;023348;060108;8;0;2;2;2;2;1;0
wgm;Watergraafsmeer;;;012520;048519;4;0;0;2;0;3;3;0
wgmo;Watergraafsmeer Oost aansl.;;;012694;048395;5;0;0;0;0;0;3;0
wgmoa;Watergr. Oost aansl.;;;012677;048421;5;0;0;3;0;3;3;0
wgmrba;Watergraafsmeer ringbaan aansl.;;;012694;048374;4;0;0;0;0;0;0;0
wgmw;Watergraafsmeer West aansl.;;;012460;048586;5;0;0;2;0;3;5;0
wh;Wijhe;NL;711;020638;048950;6;0;2;2;2;2;4;0
wha;Waterhuizen aansl.;;;023878;057845;5;0;0;2;0;3;3;0
whe;Where, brug o/d - bij Purmerend;;;012596;050218;1;0;0;0;0;0;0;0
whz;Waalhaven Zuid;;;009073;043199;2;0;0;0;0;0;7;0
whza;Waalhaven Zuid aansl.;;;009271;043184;5;0;0;2;0;3;7;0
wijb;Wantijbrug - bij Dordrecht;;;011023;042457;1;0;0;0;0;0;1;0
wiltn;Willemstunnel Noord;NL;;009241;043753;4;0;0;0;0;0;5;0
wiltz;Willemstunnel Zuid;NL;;009362;043653;4;0;0;0;0;0;0;0
wk;Workum;NL;706;015963;055394;8;0;2;2;2;2;8;0
wl;Wehl;NL;686;021181;044131;8;0;2;2;2;2;2;0
wld;Willemsdorp;;;010301;041665;3;0;0;0;0;0;5;0
wm;Wormerveer;NL;707;011465;050032;8;0;2;2;2;2;3;0
wmb;Wijmertsbrug - tussen IJlst en Workum;;;016228;055681;1;0;0;0;0;0;0;0
wnn;Wadenoijen;;;015289;043109;4;0;0;0;0;0;2;0
wp;Weesp;NL;685;013160;048049;11;0;2;2;2;2;2;1
wr;Weener;D;8021239;028268;057915;8;0;2;2;2;2;2;0
wrg;Weener grens;;;027670;057912;9;0;0;0;0;0;3;0
ws;Winschoten;NL;696;026527;057374;8;0;2;2;2;2;7;1
wsm;Winsum;NL;697;023048;059426;8;0;2;2;2;2;4;0
wspl;Rotterdam Westelijke Splitsing;;;009084;043771;4;0;0;2;3;3;7;0
wt;Weert;NL;684;017715;036221;8;0;2;2;2;2;7;1
wtv;Westervoort;;688;019382;044330;6;0;2;2;2;0;5;0
wv;Wolvega;NL;705;019656;054382;8;0;2;2;2;2;3;0
wvd;Westerveld;NL;;010347;049459;6;0;0;0;0;0;0;0
ww;Winterswijk;NL;698;024627;044302;8;3;2;2;1;1;5;0
wwab;Westerwoldse Aa-brug;;;027666;057935;1;0;0;0;0;0;0;0
www;Winterswijk West;NL;700;024223;044562;6;0;0;2;3;3;3;0
wz;Wezep;NL;690;019677;049639;6;0;2;2;2;2;8;0
xa;;;;012992;051695;0;0;0;0;0;0;0;0
xy;;;;007915;038585;0;0;0;0;0;0;0;0
y. dfl;Y.Duffel;;;009743;037149;0;0;0;0;0;0;5;0
y. krb;Y.Krijgsbaan;;;009603;037521;0;0;0;0;0;0;5;0
y. mch;Y.Machelen;;;010315;034670;0;0;0;0;0;0;4;0
y. otb;Y.Otterbeek;;;009874;036744;0;0;0;0;0;0;5;0
y. wd;Y.Weerde;;;009901;036617;0;0;0;0;0;0;4;0
y.ka.w;Y.St. Katel.-Waver;;;009794;036986;0;0;0;0;0;0;5;0
